id,target
300000,1
300001,1
300002,1
300003,0
300004,1
300005,1
300006,1
300007,1
300008,0
300009,1
300010,0
300011,0
300012,1
300013,1
300014,1
300015,1
300016,0
300017,1
300018,1
300019,0
300020,1
300021,0
300022,1
300023,0
300024,1
300025,1
300026,0
300027,1
300028,1
300029,1
300030,1
300031,1
300032,1
300033,1
300034,0
300035,1
300036,1
300037,1
300038,0
300039,1
300040,1
300041,1
300042,1
300043,0
300044,0
300045,0
300046,1
300047,1
300048,1
300049,0
300050,0
300051,1
300052,0
300053,0
300054,1
300055,1
300056,1
300057,1
300058,1
300059,1
300060,1
300061,1
300062,1
300063,0
300064,0
300065,1
300066,1
300067,1
300068,0
300069,1
300070,1
300071,1
300072,1
300073,1
300074,0
300075,1
300076,0
300077,1
300078,0
300079,0
300080,0
300081,0
300082,0
300083,0
300084,1
300085,1
300086,0
300087,0
300088,0
300089,1
300090,1
300091,1
300092,0
300093,0
300094,0
300095,1
300096,1
300097,1
300098,0
300099,1
300100,1
300101,1
300102,0
300103,0
300104,0
300105,1
300106,0
300107,0
300108,0
300109,1
300110,0
300111,1
300112,1
300113,1
300114,0
300115,0
300116,0
300117,0
300118,0
300119,0
300120,1
300121,1
300122,1
300123,0
300124,0
300125,1
300126,1
300127,1
300128,0
300129,0
300130,1
300131,0
300132,1
300133,0
300134,1
300135,0
300136,1
300137,1
300138,1
300139,0
300140,1
300141,1
300142,1
300143,0
300144,1
300145,1
300146,1
300147,1
300148,1
300149,0
300150,1
300151,1
300152,0
300153,1
300154,1
300155,1
300156,0
300157,1
300158,0
300159,1
300160,1
300161,1
300162,0
300163,0
300164,0
300165,0
300166,1
300167,1
300168,0
300169,1
300170,0
300171,0
300172,0
300173,0
300174,1
300175,1
300176,1
300177,1
300178,1
300179,0
300180,0
300181,0
300182,0
300183,1
300184,0
300185,1
300186,1
300187,1
300188,1
300189,0
300190,0
300191,0
300192,1
300193,1
300194,1
300195,1
300196,1
300197,0
300198,1
300199,1
300200,1
300201,1
300202,1
300203,1
300204,0
300205,0
300206,1
300207,1
300208,0
300209,1
300210,0
300211,1
300212,0
300213,1
300214,0
300215,1
300216,1
300217,1
300218,1
300219,0
300220,1
300221,0
300222,1
300223,1
300224,1
300225,0
300226,1
300227,1
300228,1
300229,0
300230,1
300231,0
300232,1
300233,1
300234,0
300235,1
300236,0
300237,1
300238,0
300239,0
300240,0
300241,1
300242,1
300243,0
300244,0
300245,1
300246,1
300247,1
300248,0
300249,1
300250,1
300251,0
300252,1
300253,1
300254,0
300255,0
300256,0
300257,0
300258,1
300259,0
300260,0
300261,0
300262,1
300263,0
300264,1
300265,0
300266,1
300267,0
300268,0
300269,1
300270,0
300271,1
300272,0
300273,1
300274,0
300275,1
300276,0
300277,1
300278,1
300279,1
300280,1
300281,0
300282,0
300283,0
300284,1
300285,1
300286,1
300287,1
300288,1
300289,0
300290,1
300291,1
300292,1
300293,0
300294,0
300295,0
300296,0
300297,1
300298,0
300299,1
300300,1
300301,0
300302,1
300303,0
300304,1
300305,1
300306,1
300307,0
300308,1
300309,1
300310,0
300311,1
300312,1
300313,0
300314,0
300315,1
300316,0
300317,0
300318,1
300319,1
300320,0
300321,1
300322,1
300323,1
300324,0
300325,0
300326,1
300327,1
300328,1
300329,0
300330,0
300331,1
300332,1
300333,1
300334,0
300335,1
300336,1
300337,1
300338,1
300339,0
300340,0
300341,0
300342,0
300343,1
300344,0
300345,1
300346,0
300347,1
300348,1
300349,0
300350,0
300351,0
300352,1
300353,0
300354,1
300355,0
300356,1
300357,0
300358,1
300359,0
300360,1
300361,0
300362,1
300363,0
300364,1
300365,1
300366,1
300367,0
300368,1
300369,0
300370,1
300371,1
300372,1
300373,0
300374,0
300375,0
300376,1
300377,0
300378,1
300379,1
300380,0
300381,0
300382,0
300383,1
300384,0
300385,1
300386,1
300387,1
300388,1
300389,1
300390,1
300391,1
300392,0
300393,1
300394,0
300395,0
300396,1
300397,0
300398,1
300399,1
300400,1
300401,1
300402,1
300403,0
300404,1
300405,1
300406,1
300407,1
300408,1
300409,1
300410,1
300411,0
300412,0
300413,1
300414,1
300415,1
300416,1
300417,0
300418,1
300419,1
300420,1
300421,1
300422,1
300423,1
300424,0
300425,1
300426,1
300427,0
300428,1
300429,1
300430,0
300431,0
300432,1
300433,1
300434,0
300435,1
300436,1
300437,0
300438,0
300439,0
300440,1
300441,1
300442,1
300443,0
300444,0
300445,1
300446,0
300447,1
300448,0
300449,1
300450,1
300451,1
300452,1
300453,0
300454,1
300455,1
300456,1
300457,0
300458,1
300459,1
300460,1
300461,1
300462,0
